date_,confirmed,confirmed2
2020-01-23,1,1
2020-01-30,3,4
2020-01-31,3,7
2020-02-05,2,9
2020-02-06,1,10
2020-02-16,2,12
2020-02-19,2,14
2020-02-20,4,18
2020-02-21,2,20
2020-02-22,4,24
2020-02-23,4,28
2020-02-24,4,32
2020-02-25,13,45
2020-02-26,10,55
2020-02-27,11,66
2020-02-28,7,73
2020-02-29,3,76
2020-02-29,2,78
2020-03-01,6,84
2020-03-02,6,90
2020-03-03,1,91
2020-03-04,5,96
2020-03-05,1,97
2020-03-06,5,102
2020-03-07,6,108
2020-03-08,9,117
2020-03-09,22,139
2020-03-10,46,185
2020-03-11,16,201
2020-03-12,12,213
2020-03-13,9,222
2020-03-14,8,230
2020-03-15,6,236
